year,resource,variable,units,magnitude,source,data_value,flag
2011,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,89,R
2011,Total generation,Generation,Gigawatt hours,Actual,MBIE,43443,R
2011,Total generation,Prices,Number,Average,Electricity Authority,52,F
2011,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1000346,R
2011,Waste heat,Generation,Gigawatt hours,Actual,MBIE,59,F
2011,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,629174,R
2011,Wind,Generation,Gigawatt hours,Actual,MBIE,1639,F
2011,Wind,Gigawatt hours,Number,Proportion,MBIE,0.04,F
2011,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,650783,R
2011,Wind,Other changes,Dollars,Thousands,Environmental Accounts,-21610,R
2011,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,37750,R
2011,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,127882,R
2011,Wood,Generation,Gigawatt hours,Actual,MBIE,333,F
2011,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2011,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,147515,R
2011,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-19633,R
2011,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,7673,R
2012,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,91659,R
2012,Biogas,Generation,Gigawatt hours,Actual,MBIE,219,F
2012,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2012,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,82598,R
2012,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,9061,R
2012,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5500,R
2012,Coal,Generation,Gigawatt hours,Actual,MBIE,2327,F
2012,Gas,Generation,Gigawatt hours,Actual,MBIE,8316,R
2012,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2437685,R
2012,Geothermal,Generation,Gigawatt hours,Actual,MBIE,5832,F
2012,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.14,F
2012,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2215070,R
2012,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,222616,R
2012,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,146261,R
2012,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9994753,R
2012,Hydro,Generation,Gigawatt hours,Actual,MBIE,23913,R
2012,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.56,F
2012,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9568100,R
2012,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,426654,R
2012,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,599685,R
2012,Oil,Generation,Gigawatt hours,Actual,MBIE,2,F
2012,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,13511024,R
2012,Renewable,Generation,Gigawatt hours,Actual,MBIE,32326,R
2012,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.75,F
2012,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,12624306,R
2012,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,886717,R
2012,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,810661,R
2012,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.75,F
2012,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1780,R
2012,Solar,Generation,Gigawatt hours,Actual,MBIE,4,F
2012,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2012,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1483,R
2012,Solar,Other changes,Dollars,Thousands,Environmental Accounts,297,R
2012,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,107,R
2012,Total generation,Generation,Gigawatt hours,Actual,MBIE,43014,R
2012,Total generation,Prices,Number,Average,Electricity Authority,75,F
2012,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1078676,R
2012,Waste heat,Generation,Gigawatt hours,Actual,MBIE,42,F
2012,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,837255,R
2012,Wind,Generation,Gigawatt hours,Actual,MBIE,2003,F
2012,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,F
2012,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,629174,R
2012,Wind,Other changes,Dollars,Thousands,Environmental Accounts,208081,R
2012,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,50235,R
2012,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,147892,R
2012,Wood,Generation,Gigawatt hours,Actual,MBIE,354,F
2012,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2012,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,127882,R
2012,Wood,Other changes,Dollars,Thousands,Environmental Accounts,20010,R
2012,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,8874,R
2013,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,89692,R
2013,Biogas,Generation,Gigawatt hours,Actual,MBIE,208,F
2013,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2013,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,91659,R
2013,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-1967,R
2013,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5382,R
2013,Coal,Generation,Gigawatt hours,Actual,MBIE,3248,F
2013,Gas,Generation,Gigawatt hours,Actual,MBIE,8335,R
2013,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2501124,R
2013,Geothermal,Generation,Gigawatt hours,Actual,MBIE,5797,R
2013,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.14,F
2013,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2437685,R
2013,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,63439,R
2013,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,150067,R
2013,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9798124,R
2013,Hydro,Generation,Gigawatt hours,Actual,MBIE,22710,R
2013,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.53,F
2013,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9994753,R
2013,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-196630,R
2013,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,587887,R
2013,Oil,Generation,Gigawatt hours,Actual,MBIE,5,F
2013,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,13410148,R
2013,Renewable,Generation,Gigawatt hours,Actual,MBIE,31082,R
2013,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.73,F
2013,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,13511024,R
2013,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-100876,R
2013,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,804609,R
2013,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.73,F
2013,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,2153,R
2013,Solar,Generation,Gigawatt hours,Actual,MBIE,5,F
2013,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2013,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1780,R
2013,Solar,Other changes,Dollars,Thousands,Environmental Accounts,374,R
2013,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,129,F
2013,Total generation,Generation,Gigawatt hours,Actual,MBIE,42703,R
2013,Total generation,Prices,Number,Average,Electricity Authority,81,F
2013,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1105427,R
2013,Waste heat,Generation,Gigawatt hours,Actual,MBIE,33,F
2013,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,861885,R
2013,Wind,Generation,Gigawatt hours,Actual,MBIE,1998,F
2013,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,F
2013,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,837255,R
2013,Wind,Other changes,Dollars,Thousands,Environmental Accounts,24630,R
2013,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,51713,R
2013,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,157169,R
2013,Wood,Generation,Gigawatt hours,Actual,MBIE,364,F
2013,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2013,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,147892,R
